title;description;max_participants;max_team_member;guide_book
Arkalogica;Arkalogica merupakan salah satu kompetisi dalam rangkaian acara Arkavidia 9.0 yang dirancang khusus untuk pelajar SMA/SMK. Kompetisi ini bertujuan untuk menguji kemampuan logika dan matematika peserta melalui berbagai soal dan permainan yang menarik dan menantang. Arkalogica berupaya mendorong para siswa SMA/SMK untuk mengasah kemampuan berpikir kritis dan analitis yang sangat relevan di era modern saat ini. Perlombaan ini diadakan secara beregu, dengan setiap regu terdiri atas dua siswa yang berasal dari sekolah/institusi yang sama.;100;3;https://drive.google.com/file/d/1liw6g7GgNuBRnKninXjK6FhCydiLs2eb/view?usp=drive_link
CP;Competitive Programming adalah salah satu cabang kompetisi pemrograman yang bertujuan untuk menguji kemampuan analisis pemecahan masalah dan berpikir komputasional dengan cara menyelesaikan persoalan yang diberikan dengan bahasa pemrograman tertentu dalam batasan waktu dan memori yang telah ditentukan.;100;3;https://drive.google.com/file/d/15ez5m6ErVeq_-g2heXXg13AHdZh9w8ik/view?usp=drive_link
CTF;Capture The Flag (CTF) Arkavidia 9.0 merupakan kompetisi di bidang keamanan siber yang diselenggarakan oleh Himpunan Mahasiswa Informatika (HMIF) Institut Teknologi Bandung. Dalam kompetisi ini, peserta ditantang untuk menemukan flag, yaitu string unik dengan format tertentu. Flag ini harus ditemukan melalui penyelesaian berbagai tantangan, kemudian dikirimkan untuk mendapatkan poin.;100;3;https://drive.google.com/file/d/12MFin1aYdEcpTpoijUCjIS63yZ3qaGZ1/view?usp=sharing
Datavidia;Datavida merupakan kompetisi yang bertujuan untuk menjadi ajang pengembangan kompetensi dan pertandingan antara talenta digital Indonesia khususnya di dunia sains data.;100;3;https://drive.google.com/file/d/1pnxSPOFW02RC86HJ3yPly5ia9qARRXIN/view?usp=sharing
Hackvidia;Hackvidia merupakan kompetisi hackathon inovatif yang diselenggarakan sebagai kolaborasi HMIF dengan One North Foundation. Dalam kompetisi ini, para pengembang, desainer, dan inovator ditantang untuk menciptakan solusi inovatif menggunakan teknologi AI, dengan fokus pada pemecahan masalah nyata melalui teknologi digital.;100;3;https://drive.google.com/file/d/1I1VIYzH5l6hNxoQ5SEX0IKhTSyyxtnwV/view?usp=sharing
UXvidia;UXvidia adalah kompetisi desain pengalaman pengguna atau user experience (UX) sebuah aplikasi mobile yang berfokus pada pencapaian user experience goals dan usability goals, misalnya kenyamanan dan kemudahan pengguna dalam menggunakan sebuah aplikasi. Dengan adanya kompetisi UXvidia ini diharapkan awareness masyarakat terhadap user experience lebih meningkat.;100;3;https://drive.google.com/file/d/1-YcADmd7m7MO1fdTRgqig3012WioGyaj/view?usp=sharing
